ADM0_CODE,Animal_short,HerdType_short,mmspasture,mmsdaily,mmssolid,mmssolidcov,mmssolidbulk,mmssolidadd,mmsdrylot,mmspit1,mmspit3,mmspit4,mmspit6,mmspit12,mmsliquid1,mmsliquid3,mmsliquid4,mmsliquid6,mmsliquid12,mmsliquidnatcov1,mmsliquidnatcov3,mmsliquidnatcov4,mmsliquidnatcov6,mmsliquidnatcov12,mmsliquidsolcov1,mmsliquidsolcov3,mmsliquidsolcov4,mmsliquidsolcov6,mmsliquidsolcov12,mmslagoon,mmsbiogaslowleak1,mmsbiogaslowleak2,mmsbiogaslowleak3,mmsbiogashighleak1,mmsbiogashighleak2,mmsbiogashighleak3,mmsburned,mmsdeepnomix2,mmsdeepnomix1,mmsdeepmix2,mmsdeepmix1,mmscompostves,mmscompoststat,mmscompostint,mmscompostpass,mmslitter,mmsnolitter,mmsareobic,mmsaerproc,ipcc_method
1,PGS,,0.3,0.22,0.5,0.5,0.5,0.5,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.78,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0.48,0.48,2006
1,CTL,DRY,0.3,0.22,0.4,0.4,0.4,0.4,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.77,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0.4,0.4,2006
1,CHK,,0.3,0.22,0.5,0.5,0.5,0.5,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.77,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.55,0.48,0.48,2006
1,CTL,,0.3,0.22,0.5,0.5,0.5,0.5,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.77,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0.4,0.4,2006
1,BFL,,0.3,0.22,0.5,0.5,0.5,0.5,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.77,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0.4,0.4,2006
1,GTS,,0.3,0.22,0.15,0.15,0.15,0.15,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.77,0,0,0,0,0,0,0,0.35,0.35,0.35,0.35,0,0,0,0,0,0,0.4,0.4,2006
1,SHP,,0.3,0.22,0.15,0.15,0.15,0.15,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.77,0,0,0,0,0,0,0,0.35,0.35,0.35,0.35,0,0,0,0,0,0,0.4,0.4,2006
1,CML,,0.3,0.22,0.15,0.15,0.15,0.15,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.77,0,0,0,0,0,0,0,0.35,0.35,0.35,0.35,0,0,0,0,0,0,0.4,0.4,2006
2,PGS,,0.3,0.22,0.5,0.5,0.5,0.5,0.3,0.25,0.25,0.25,0.25,0.25,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.78,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0.48,0.48,2006
2,CTL,DRY,0.3,0.22,0.4,0.4,0.4,0.4,0.3,0.28,0.28,0.28,0.28,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.77,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0.4,0.4,2006
