Animal_short,fracleachpasture,fracleachdaily,fracleachsolid,fracleachsolidcov,fracleachsolidbulk,fracleachsolidadd,fracleachdrylot,fracleachpit1,fracleachpit3,fracleachpit4,fracleachpit6,fracleachpit12,fracleachliquid1,fracleachliquid3,fracleachliquid4,fracleachliquid6,fracleachliquid12,fracleachliquidnatcov1,fracleachliquidnatcov3,fracleachliquidnatcov4,fracleachliquidnatcov6,fracleachliquidnatcov12,fracleachliquidsolcov1,fracleachliquidsolcov3,fracleachliquidsolcov4,fracleachliquidsolcov6,fracleachliquidsolcov12,fracleachlagoon,fracleachbiogaslowleak1,fracleachbiogaslowleak2,fracleachbiogaslowleak3,fracleachbiogashighleak1,fracleachbiogashighleak2,fracleachbiogashighleak3,fracleachburned,fracleachdeepnomix2,fracleachdeepnomix1,fracleachdeepmix2,fracleachdeepmix1,fracleachcompostves,fracleachcompoststat,fracleachcompostint,fracleachcompostpass,fracleachlitter,fracleachnolitter,fracleachareobic,fracleachaerproc,HerdType_short,ADM0_CODE
GTS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",3
SHP,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",3
CML,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",3
PGS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0.4,0.48,0,0,"",4
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,DRY,4
CHK,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.04,0.4,0.48,0,0,"",4
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",4
BFL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",4
GTS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",4
SHP,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",4
CML,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",4
PGS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0.4,0.48,0,0,"",5
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,DRY,5
CHK,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.04,0.4,0.48,0,0,"",5
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",5
BFL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",5
GTS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",5
SHP,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",5
CML,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",5
PGS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0.4,0.48,0,0,"",7
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,DRY,7
CHK,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.04,0.4,0.48,0,0,"",7
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",7
BFL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",7
GTS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",7
SHP,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",7
CML,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",7
PGS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0.4,0.48,0,0,"",8
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,DRY,8
CHK,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.04,0.4,0.48,0,0,"",8
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",8
BFL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",8
GTS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",8
SHP,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",8
CML,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",8
PGS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0.4,0.48,0,0,"",9
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,DRY,9
CHK,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.04,0.4,0.48,0,0,"",9
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",9
BFL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",9
GTS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",9
SHP,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",9
CML,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",9
PGS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0.4,0.48,0,0,"",11
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,DRY,11
CHK,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.04,0.4,0.48,0,0,"",11
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",11
BFL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",11
GTS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",11
SHP,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",11
CML,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",11
PGS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0.4,0.48,0,0,"",12
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,DRY,12
CHK,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.04,0.4,0.48,0,0,"",12
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",12
BFL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",12
GTS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",12
SHP,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",12
CML,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",12
PGS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0.4,0.48,0,0,"",13
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,DRY,13
CHK,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.04,0.4,0.48,0,0,"",13
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",13
BFL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",13
GTS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",13
SHP,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",13
CML,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",13
PGS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0.4,0.48,0,0,"",14
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,DRY,14
CHK,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.04,0.4,0.48,0,0,"",14
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",14
BFL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",14
GTS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",14
SHP,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",14
CML,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",14
PGS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0.4,0.48,0,0,"",15
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,DRY,15
CHK,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.04,0.4,0.48,0,0,"",15
CTL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",15
BFL,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",15
GTS,0.24,0,0.02,0,0.02,0.02,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.035,0.035,0.035,0,0.06,0.06,0.04,0,0,0,0,"",15
