"COUNTRY","ADM0_CODE","Animal_short","HerdType_short","b0","mms","ipcc_ref"
"Cabo Verde",47,"GTS","",0.13,"","2006; 2019"
"Cabo Verde",47,"CML","",0.21,"","2006; 2019"
"Cabo Verde",47,"CHK","LAY",0.39,"","2006; 2019"
"Cabo Verde",47,"CHK","BRL",0.36,"","2006; 2019"
"Cabo Verde",47,"CTL","",0.19,"mmspasture","2019"
"Cabo Verde",47,"SHP","",0.19,"mmspasture","2019"
"Cabo Verde",47,"GTS","",0.19,"mmspasture","2019"
"Cabo Verde",47,"CML","",0.19,"mmspasture","2019"
"Cabo Verde",47,"CHK","",0.19,"mmspasture","2019"
"Cabo Verde",47,"PGS","",0.19,"mmspasture","2019"
"Cabo Verde",47,"BFL","",0.19,"mmspasture","2019"
"Cameroon",45,"CTL","DRY",0.13,"","2006; 2019"
"Cameroon",45,"CTL","",0.1,"","2006; 2019"
"Cameroon",45,"BFL","",0.1,"","2006; 2019"
"Cameroon",45,"PGS","",0.29,"","2006; 2019"
"Cameroon",45,"SHP","",0.13,"","2006; 2019"
"Cameroon",45,"GTS","",0.13,"","2006; 2019"
"Cameroon",45,"CML","",0.21,"","2006; 2019"
"Cameroon",45,"CHK","LAY",0.39,"","2006; 2019"
"Cameroon",45,"CHK","BRL",0.36,"","2006; 2019"
"Cameroon",45,"CTL","",0.19,"mmspasture","2019"
"Cameroon",45,"SHP","",0.19,"mmspasture","2019"
"Cameroon",45,"GTS","",0.19,"mmspasture","2019"
"Cameroon",45,"CML","",0.19,"mmspasture","2019"
"Cameroon",45,"CHK","",0.19,"mmspasture","2019"
"Cameroon",45,"PGS","",0.19,"mmspasture","2019"
"Cameroon",45,"BFL","",0.19,"mmspasture","2019"
"Central African Republic",49,"CTL","DRY",0.13,"","2006; 2019"
"Central African Republic",49,"CTL","",0.1,"","2006; 2019"
"Central African Republic",49,"BFL","",0.1,"","2006; 2019"
"Central African Republic",49,"PGS","",0.29,"","2006; 2019"
"Central African Republic",49,"SHP","",0.13,"","2006; 2019"
"Central African Republic",49,"GTS","",0.13,"","2006; 2019"
"Central African Republic",49,"CML","",0.21,"","2006; 2019"
"Central African Republic",49,"CHK","LAY",0.39,"","2006; 2019"
"Central African Republic",49,"CHK","BRL",0.36,"","2006; 2019"
"Central African Republic",49,"CTL","",0.19,"mmspasture","2019"
"Central African Republic",49,"SHP","",0.19,"mmspasture","2019"
"Central African Republic",49,"GTS","",0.19,"mmspasture","2019"
"Central African Republic",49,"CML","",0.19,"mmspasture","2019"
"Central African Republic",49,"CHK","",0.19,"mmspasture","2019"
"Central African Republic",49,"PGS","",0.19,"mmspasture","2019"
"Central African Republic",49,"BFL","",0.19,"mmspasture","2019"
"Chad",50,"CTL","DRY",0.13,"","2006; 2019"
"Chad",50,"CTL","",0.1,"","2006; 2019"
"Chad",50,"BFL","",0.1,"","2006; 2019"
"Chad",50,"PGS","",0.29,"","2006; 2019"
"Chad",50,"SHP","",0.13,"","2006; 2019"
"Chad",50,"GTS","",0.13,"","2006; 2019"
"Chad",50,"CML","",0.21,"","2006; 2019"
"Chad",50,"CHK","LAY",0.39,"","2006; 2019"
"Chad",50,"CHK","BRL",0.36,"","2006; 2019"
"Chad",50,"CTL","",0.19,"mmspasture","2019"
"Chad",50,"SHP","",0.19,"mmspasture","2019"
"Chad",50,"GTS","",0.19,"mmspasture","2019"
"Chad",50,"CML","",0.19,"mmspasture","2019"
"Chad",50,"CHK","",0.19,"mmspasture","2019"
"Chad",50,"PGS","",0.19,"mmspasture","2019"
"Chad",50,"BFL","",0.19,"mmspasture","2019"
"Comoros",58,"CTL","DRY",0.13,"","2006; 2019"
"Comoros",58,"CTL","",0.1,"","2006; 2019"
"Comoros",58,"BFL","",0.1,"","2006; 2019"
"Comoros",58,"PGS","",0.29,"","2006; 2019"
"Comoros",58,"SHP","",0.13,"","2006; 2019"
"Comoros",58,"GTS","",0.13,"","2006; 2019"
"Comoros",58,"CML","",0.21,"","2006; 2019"
"Comoros",58,"CHK","LAY",0.39,"","2006; 2019"
"Comoros",58,"CHK","BRL",0.36,"","2006; 2019"
"Comoros",58,"CTL","",0.19,"mmspasture","2019"
"Comoros",58,"SHP","",0.19,"mmspasture","2019"
"Comoros",58,"GTS","",0.19,"mmspasture","2019"
"Comoros",58,"CML","",0.19,"mmspasture","2019"
"Comoros",58,"CHK","",0.19,"mmspasture","2019"
"Comoros",58,"PGS","",0.19,"mmspasture","2019"
"Comoros",58,"BFL","",0.19,"mmspasture","2019"
"Congo",59,"CTL","DRY",0.13,"","2006; 2019"
"Congo",59,"CTL","",0.1,"","2006; 2019"
"Congo",59,"BFL","",0.1,"","2006; 2019"
"Congo",59,"PGS","",0.29,"","2006; 2019"
"Congo",59,"SHP","",0.13,"","2006; 2019"
"Congo",59,"GTS","",0.13,"","2006; 2019"
"Congo",59,"CML","",0.21,"","2006; 2019"
