ADM0_CODE,mmspasture,mmsdaily,mmssolid,mmssolidcov,mmssolidbulk,mmssolidadd,mmsdrylot,mmspit1,mmspit3,mmspit4,mmspit6,mmspit12,mmsliquid1,mmsliquid3,mmsliquid4,mmsliquid6,mmsliquid12,mmsliquidnatcov1,mmsliquidnatcov3,mmsliquidnatcov4,mmsliquidnatcov6,mmsliquidnatcov12,mmsliquidsolcov1,mmsliquidsolcov3,mmsliquidsolcov4,mmsliquidsolcov6,mmsliquidsolcov12,mmslagoon,mmsbiogaslowleak1,mmsbiogaslowleak2,mmsbiogaslowleak3,mmsbiogashighleak1,mmsbiogashighleak2,mmsbiogashighleak3,mmsburned,mmsdeepnomix2,mmsdeepnomix1,mmsdeepmix2,mmsdeepmix1,mmscompostves,mmscompoststat,mmscompostint,mmscompostpass,mmslitter,mmsnolitter,mmsareobic,mmsaerproc,ipcc_method
132,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
136,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
138,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
140,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
146,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
147,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
148,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
167,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
179,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
186,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
198,1,0.1,2,2,2,2,1,3,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,10,10,66,10,10,10,10,10,10,10,17,3,17,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
