Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","112","Belarus","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","1332.3565","I","Imputed value",""
"RL","Land Use","112","Belarus","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","22.6","I","Imputed value",""
"RL","Land Use","112","Belarus","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","2783.6","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","81","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","9","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","476","A","Official figure",""
"RL","Land Use","084","Belize","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","9.9486","I","Imputed value",""
"RL","Land Use","084","Belize","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","11.0533","I","Imputed value",""
"RL","Land Use","084","Belize","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","50","I","Imputed value",""
"RL","Land Use","204","Benin","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","305.24","I","Imputed value",""
"RL","Land Use","204","Benin","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","180.4924","I","Imputed value",""
"RL","Land Use","204","Benin","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","550","I","Imputed value",""
"RL","Land Use","060","Bermuda","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0.0339","I","Imputed value",""
"RL","Land Use","060","Bermuda","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","0.0377","I","Imputed value",""
"RL","Land Use","064","Bhutan","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","2.4833","I","Imputed value",""
"RL","Land Use","064","Bhutan","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","26.12","I","Imputed value",""
"RL","Land Use","064","Bhutan","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","413","I","Imputed value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0","I","Imputed value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","1636","I","Imputed value",""
