Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","682","Saudi Arabia","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","254000","E","Estimated value",""
"QCL","Crops and livestock products","682","Saudi Arabia","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","1322237","I","Imputed value",""
"QCL","Crops and livestock products","682","Saudi Arabia","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","2813788","I","Imputed value",""
"QCL","Crops and livestock products","686","Senegal","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","1547","I","Imputed value",""
"QCL","Crops and livestock products","686","Senegal","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","810000","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","678729","I","Imputed value",""
"QCL","Crops and livestock products","686","Senegal","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","729784","I","Imputed value",""
"QCL","Crops and livestock products","688","Serbia","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","431761","A","Official figure",""
"QCL","Crops and livestock products","688","Serbia","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","124338","A","Official figure",""
"QCL","Crops and livestock products","688","Serbia","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","164641","A","Official figure",""
"QCL","Crops and livestock products","690","Seychelles","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","160","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","111848","I","Imputed value",""
"QCL","Crops and livestock products","703","Slovakia","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","143083","A","Official figure",""
"QCL","Crops and livestock products","703","Slovakia","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","25811","A","Official figure",""
"QCL","Crops and livestock products","703","Slovakia","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","194111","A","Official figure",""
"QCL","Crops and livestock products","705","Slovenia","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","107841","A","Official figure",""
"QCL","Crops and livestock products","705","Slovenia","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","3992","A","Official figure",""
"QCL","Crops and livestock products","705","Slovenia","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","3501","A","Official figure",""
"QCL","Crops and livestock products","090","Solomon Islands","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","2238","I","Imputed value",""
"QCL","Crops and livestock products","706","Somalia","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","2388161","I","Imputed value",""
"QCL","Crops and livestock products","706","Somalia","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","1196973","I","Imputed value",""
"QCL","Crops and livestock products","706","Somalia","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","6343632","I","Imputed value",""
"QCL","Crops and livestock products","706","Somalia","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","6221982","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","945000","A","Official figure",""
"QCL","Crops and livestock products","728","South Sudan","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","728","South Sudan","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","7375000","E","Estimated value",""
"QCL","Crops and livestock products","728","South Sudan","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","6933000","E","Estimated value",""
"QCL","Crops and livestock products","728","South Sudan","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","6895673","I","Imputed value",""
"QCL","Crops and livestock products","724","Spain","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","844114","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","983143","A","Official figure",""
