Category,Category_short,Item_Name,GLEAM3_name,Item_group,GLEAM_Method,GLEASTAT_version,DM,GE,DE_ruminants,DE_pigs,ME_ruminants,ME_pigs,ME_chickens,CP,N_content,N_dig_ruminants,N_dig_pigs
By-products,ByProducts,Bran of Buckwheat,GRNBYDRY,GLEAMX,GLEAMX,v1,88.45,19.95,13.88,13.35,11.1,12.65,12.65,26.45,0.04232,70.5,70.1
By-products,ByProducts,Bran of Mixed Grain,GRNBYDRY,GLEAMX,GLEAMX,v1,89.4,19.4899999999999,14.42,13.5599999999999,11.8599999999999,12.9111111111111,9.85833333333333,14.53,0.023248,69.7,66.1
By-products,ByProducts,Marc of grape,,GLEAMX,GLEAMX,v1,91.2,19.1,7.258,8.9,5.5,8.3,5.05,13.6,0.02176,52.3,47.6
By-products,ByProducts,Potato Offals,,GLEAMX,GLEAMX,v1,20.1,17.1,12.996,14.6,10.3,,,10,0.016,60.3,66.1
By-products,ByProducts,Maize Gluten meal,MZGLTM,GLEAMX,GLEAMX,v1,90,23.1,22.9,21.4,16.6,19.8,16.7,67.2,0.10752,81,86.2
By-products,ByProducts,Maize Gluten feed,MZGLTF,GLEAMX,GLEAMX,v1,88.3,18.8,15.1,12.3,12.2,11.6,8.6,21.7,0.03472,74.4,60.2
By-products,ByProducts,Bagasse,,GLEAMX,GLEAMX,v1,46,18.4,8.6,3.3,7,,,1.8,0.00288,,
By-products,ByProducts,Beet pulp,BPULP,GLEAMX,GLEAMX,v1,24.3,17.1,13.509,11.8,11.2,11.1,2.83333333333333,8.7,0.01392,69,47
By-products,ByProducts,Coffee Husks and Skins,,GLEAMX,GLEAMX,v1,91.8,17.2,,10.5,,,,11.3,,,
By-products,ByProducts,Brewing or distilling dregs and waste,GRNBYWET,GLEAMX,GLEAMX,v1,72.8,20.7285714285714,14.7748571428571,14.2181818181818,11.7615384615384,13.3111111111111,11.2222222222222,29.3928571428571,0.0470285714285714,76,76.9
Animal products,Animal products,Raw milk of pig,,GLEAMX,GLEAMX,v1,17.9,25.8435754189944,,25.0682681564246,,24.0655374301676,,29.8324022346369,0.0467592511514685,,
Other,Other,SWILL,SWILL,GLEAM3,GLEAMX,v1,37.5112698412698,18.316,13.4833333333333,11.659375,10.7777777777778,10.76,10.14,12.831,0.0205296,60.4909090909091,53.725
