LPS,LPS_short,HerdType,HerdType_short,Animal,Animal_short,ADM0_CODE,ISO3,ISO3_num,M49_code,COUNTRY,RegionClass,CLIM,CLIMATE_ZONE,TEMPERATURE,AFCM,AFKG,AMKG,BCR,DR1M,DR2,DRF,DRR2A,DRR2B,DWG2,FRRF,LW,M2SKG,MFSKG,MMSKG,RRF,RRM,WA,afc,bone_free_meat_fraction,Bo,ckg,dr1,carcass_dressing_percentage,parturition_rate,gest,work_hours,idle,lact,lambing_interval,litsize,meat_protein,milk_fat,milk_protein,milk_yield,mmsaerobic,mmsaerproc,mmsbiogas,mmsburned,mmscompost,mmsconfin,mmsdaily,mmsdeeplitt,mmsdrylot,mmslagoon,mmsliqcrust,mmsliqoth,mmsliquid,mmslitter,mmsnolitter,mmspasture,mmspit1,mmspit2,mmssolid,mmsthermal,wkg,size_total,past_man_frac,female_birth_fraction,offtake_rate.FJ,offtake_rate.FS,offtake_rate.FA,offtake_rate.MJ,offtake_rate.MS,offtake_rate.MA,mort_rate.FJ,mort_rate.FS,mort_rate.FA,mort_rate.MJ,mort_rate.MS,mort_rate.MA,duration.FJ,duration.FS,duration.FA,duration.MJ,duration.MS,duration.MA,draught_fraction,milking_fraction,fibre_prod
Grassland,GRS,Dairy,DRY,Sheep,SHP,6,SDN,,729,Sudan,Countries,0,3.77142657094021,29.0692006522056,,46.6598754537529,65.7328063016772,0.0330027446397588,0,0.110001542975199,0,0,0,0,0.949999999999999,35.4654962179672,0,28.7994897051481,28.7997210677822,0.218011178642992,0,0.164383561643836,1.57499185341021,0,0.13,3.35965686341515,0.130004925782648,0,0.877987646459262,0,0,0,0,294.000273723353,1.09998701949217,0.2013,0.0640000000000001,0.0540000024226713,0.0493317317442477,0,0,0,0,0,0,0,0,0.499209176759622,0,0,0,0,0,0,0.500790823220737,0,0,0,0,0,19259629.85,0.00590605316643539,0.5,0.440166241418566,0.440166241418566,0.495431639515449,0.899850525020651,0.899850525020651,0.480245397854525,0.130004925782648,0.110001542975199,0.110001542975199,0.130004925782648,0.110001542975199,0.110001542975199,60.0000000000001,514.872026494727,3379.32812885914,60.0000000000001,514.872026494727,3591.11422449611,0,1,2.13032286398554e-07
Grassland,GRS,Dairy,DRY,Sheep,SHP,268,ESH,,732,Western Sahara,Countries,0,4,24.7568433564826,,29.1157464500741,35.2010773052121,0.033,0,0.090128607166749,0,0,0,0,0.95,22.0396487025088,0,20.0565871533696,20.0565871533696,0.249794272259638,0,0.164383561643836,1.59983924104157,0,0.13,3.99603889926413,0.249228356999506,0,0.77665589655042,0,0,0,0,295.987139283325,1.020514428667,0.2013,0.064,0.0540000010502022,0.093185919771712,0,0,0,0,0,0,0,0,0.0528936619921202,0,0,0,0,0,0,0.947106326903874,0,0,0,0,0,0,0.000190883556511391,0.5,0.203502314976394,0.203502314976394,0.639188655722784,0.773989248256175,0.773989248256175,0.567426152542643,0.249228356999506,0.090128607166749,0.090128607166749,0.249228356999506,0.090128607166749,0.090128607166749,60.0000000000001,523.941322980173,2286.02686612462,60.0000000000001,523.941322980173,3087.31622800707,0,1,6.94487641678299e-05
Grassland,GRS,Dairy,DRY,Sheep,SHP,237,CHE,,756,Switzerland,Countries,0,7.15826345465182,5.25209909342743,,71.690102034239,95.3904565913418,0.033,0,0.065,0,0,0,0,0.95,53.7306796651088,0,43.119964139074,43.119964139074,0.205691015431284,0,0.164383561643836,1.80144792399346,0,0.19,3.97486208298196,0.119970600363985,0,0.976390363305469,0,0,0,0,353.810126246953,1.84328868846047,0.2013,0.0641947534447479,0.0561070423327127,1.09522312186015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248800257127652,0,0,0.751199754827786,0,0,19987.26812,0.104958821667822,0.5,0.646135312018752,0.646135312018752,0.683992031136067,0.899091916653483,0.899091916653483,0.648717654821275,0.119970600363985,0.065,0.065,0.119970600363985,0.065,0.065,60.0000000000001,597.528492257613,2594.33766172704,60.0000000000001,597.528492257613,3040.74578842208,0,1,0.00535535882004142
Grassland,GRS,Dairy,DRY,Sheep,SHP,238,SYR,,760,Syrian Arab Republic,Countries,0,5.99861316852392,18.8817730171513,,48.6804941924029,62.3240691634739,0.033,0,0.097,0,0,0,0,0.950000000000001,39.2835056418743,0,26.7,26.7,0.168,0,0.164383561643836,1.583333,0,0.13,4.38124447731627,0.126,0,0.84,0,0,0,0,365,1.23039900261675,0.2013,0.0649999999999999,0.0569999984093767,0.156944933036682,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,6571545.105,0.16647999185419,0.5,0.563930155428752,0.563930155428752,0.422619047619048,0.907034457900618,0.907034457900618,0.539250097,0.126,0.097,0.097,0.126,0.097,0.097,60.0000000000001,517.916545,5140.84507042254,60.0000000000001,517.916545,3215.11232848235,0,1,0.00323812243992278
Grassland,GRS,Dairy,DRY,Sheep,SHP,239,TJK,,762,Tajikistan,Countries,0,8.06766673438103,7.30143196537459,,43.4305374619635,56.1465315579994,0.0312363949234606,0,0.113745263803292,0,0,0,0,0.95,32.9192313198292,0,31.6245280214139,34.2021046717407,0.156767185383509,0,0.164383561643836,1.53132930578422,0,0.13,3.64126588107727,0.175930142131063,0,0.838643380710354,0,0,0,0,360.25183248624,1.13375970776548,0.2013,0.0665336941705166,0.0619419988738735,0.0922293298549096,0,0,0,0,0,0,0,0,0.103059778293779,0,0,0,0,0,0,0.817059311179686,0,0,0.0798809026522823,0,0,0,0.0103959693443088,0.5,0.481500919295644,0.481500919295644,0.27443193213535,0.826767669048299,0.826767669048299,0.477455632431586,0.175930142131063,0.113745263803292,0.113745263803292,0.175930142131063,0.113745263803292,0.113745263803292,60.0000000000001,498.93519661124,8484.04689036112,60.0000000000001,498.93519661124,3511.96106179351,0,1,0.00497524291944527
Grassland,GRS,Dairy,DRY,Sheep,SHP,240,THA,,764,Thailand,Countries,0,2,24.9080905914307,,30.3,38.784,0.033,0,0.141,0,0,0,0,0.95,22.387142484279,0,26.7,26.7,0.168,0,0.164383561643836,1.25,0,0.13,2.727,0.325,0,0.84,0,0,0,0,365,1.7,0.2013,0.066,0.0750000004462424,0.0476712328767123,0,0,0,0,0,0,0,0,0.0500000007450581,0,0,0,0,0,0,0.949999988079071,0,0,0,0,0,0,0.834572115918379,0.5,0.410454192643794,0.410454192643794,0.160714285714286,0.707328091868646,0.707328091868646,0.47125,0.325,0.141,0.141,0.325,0.141,0.141,60.0000000000001,396.25,13518.5185185185,60.0000000000001,396.25,2904.50928381963,0,1,0.00170469842851162
Grassland,GRS,Dairy,DRY,Sheep,SHP,255,ARE,,784,United Arab Emirates,Countries,0,4,29.7421063770218,,48.7,62.3360000000001,0.0937126876717239,0,0.0970000000000001,0,0,0,0,0.95,36.2368717088537,0,26.7,26.7,0.168,0,0.164383561643836,1.583333,0,0.13,4.383,0.126,0,0.84,0,0,0,0,365,1.23,0.2013,0.065,0.0569999992170139,0.100124630706068,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,1201564.094,0.0958408679927667,0.5,0.563866482416662,0.563866482416662,0.422619047619047,0.881077108482171,0.881077108482171,0.539250096999999,0.126,0.0970000000000001,0.0970000000000001,0.126,0.0970000000000001,0.0970000000000001,60.0000000000001,517.916545,5140.84507042254,60.0000000000001,517.916545,3215.11232848235,0,1,3.71660295097862e-07
Grassland,GRS,Dairy,DRY,Sheep,SHP,248,TUN,,788,Tunisia,Countries,0,5.19197031053259,20.5549666144991,,46.9001812918087,66.1122198952524,0.033,0,0.11,0,0,0,0,0.95,34.2290472980083,0,28.8,28.8,0.2180068,0,0.164383561643836,1.575,0,0.13,3.37681305301023,0.13,0,0.878,0,0,0,0,294,1.1,0.2013,0.064,0.0540000010093048,0.185988743723439,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,56052.42699,0.205269112655568,0.5,0.440499502752144,0.440499502752144,0.495428582961632,0.900373108140886,0.900373108140886,0.48025,0.13,0.11,0.11,0.13,0.11,0.11,60.0000000000001,514.875,3379.41685153157,60.0000000000001,514.875,3591.09838625716,0,1,0.00535938556995394
Grassland,GRS,Dairy,DRY,Sheep,SHP,249,TUR,,792,Türkiye,Countries,0,6.84129681777982,11.7498642875612,,43.5093057495549,58.0857916289201,0.03332209718162,0,0.0970760968700467,0,0,0,0,0.95,32.5363654808555,0,26.6996181030158,26.6996181030158,0.168004336079798,0,0.164383561643836,1.58335533320163,0,0.130004019968255,3.91577051798903,0.126186643892731,0,0.840007369941801,0,0,0,0,364.995511035449,1.33800616066197,0.201300000000001,0.0650003349973545,0.0569971328162277,0.209422647030177,0,0,0,0,0,0,0,0,0.498270483954186,0,0,0,0,0,0,0.500043846205843,0,0,0.00168566983888219,0,0,1768215.479,0.219635897709679,0.5,0.578098195436477,0.578098195436477,0.422181003566849,0.900916779600046,0.900916779600046,0.538882132883241,0.126186643892731,0.0970760968700467,0.0970760968700467,0.126186643892731,0.0970760968700467,0.0970760968700467,60.0000000000001,517.924696618595,5146.0462583966,60.0000000000001,517.924696618595,3217.35307975305,0,1,0.00614395751510659
Grassland,GRS,Dairy,DRY,Sheep,SHP,250,TKM,,795,Turkmenistan,Countries,0,6,17.5292742826117,,37.1751574285023,48.1596303931932,0.101152600813332,0,0.120010326280832,0,0,0,0,0.95,28.2639027960862,0,26.7,26.7,0.167990657174486,0,0.164383561643836,1.583333,0,0.13,3.34576416856521,0.180059007319038,0,0.839953285872428,0,0,0,0,365,1.14000983455317,0.2013,0.0650049172765865,0.0560093421774012,0.0738008281707586,0,0,0,0,0,0,0,0,0.046520900519977,0,0,0,0,0,0,0.916475312977059,0,0,0.0370037761596872,0,0,0,0.00769189321365977,0.5,0.452290751769379,0.452290751769379,0.285613091231726,0.801895121102321,0.801895121102321,0.429951070176374,0.180059007319038,0.120010326280832,0.120010326280832,0.180059007319038,0.120010326280832,0.120010326280832,60.0000000000001,517.916545,7607.28392659493,60.0000000000001,517.916545,4032.43474725806,0.0113946730391936,1,0.00407563579166511
